freq,fx,gx,gy,hc,hs,l,lalti,lbes,lk,ls,luc,ol,ox,wfx,wiki,wk,wx,wy,real,ima,mag,db
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,4.0,34.0,100.0,100.0,-0.19208496809005737,-0.004722887184470892,0.19214302128757005,-14.327507693296702
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,4.0,34.0,100.0,100.0,-0.19110696017742157,-0.007447130978107452,0.19125200649420565,-14.36787999618856
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,4.0,34.0,100.0,100.0,-0.190067321062088,-0.011076567694544792,0.1903898024779969,-14.407126333961255
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,6.0,34.0,100.0,100.0,-0.16368384659290314,0.01140658464282751,0.1640808087762339,-15.698844238777491
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,6.0,34.0,100.0,100.0,-0.16244153678417206,0.009752146899700165,0.16273400763809898,-15.770433601835958
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,6.0,34.0,100.0,100.0,-0.16149529814720154,0.0070631238631904125,0.16164967999461144,-15.828503015816457
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,6.0,34.0,100.0,100.0,-0.1606920063495636,0.0032923915423452854,0.16072573143935695,-15.878291783022844
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,8.0,34.0,100.0,100.0,-0.13380928337574005,0.02646159753203392,0.136400661514072,-17.303670468779284
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,8.0,34.0,100.0,100.0,-0.13266518712043762,0.024715622887015343,0.13494781913166987,-17.39668259217297
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,8.0,34.0,100.0,100.0,-0.13191083073616028,0.021868325769901276,0.13371122218229275,-17.47664283047962
